"","immig","educ","female","white","voted_trump","intend_trump","repub"
"1",1,1,0,1,1,1,1
"2",0,2,0,1,1,1,1
"5",1,1,1,1,0,0,0
"7",1,0,0,0,0,0,0
"8",1,1,1,1,1,1,0
"13",1,2,0,0,0,0,1
"14",0,1,0,1,1,1,0
"15",1,3,1,1,0,0,0
"17",1,3,0,0,0,0,0
"18",0,2,0,1,1,1,1
"19",1,3,1,1,0,0,0
"22",1,1,1,1,1,1,1
"23",1,1,1,1,0,0,1
"25",0,0,0,0,1,1,1
"29",1,3,0,1,0,0,0
"33",1,1,1,1,1,1,1
"34",0,2,0,1,1,1,1
"36",1,3,0,1,0,0,0
"38",0,1,0,1,1,1,1
"40",1,1,1,0,0,0,0
"42",0,1,1,1,1,1,1
"43",0,2,1,0,0,0,0
"44",0,1,0,1,1,1,1
"45",0,1,1,1,1,1,1
"46",1,2,1,1,0,0,0
"48",1,1,0,1,1,1,1
"52",1,3,1,1,0,0,0
"54",0,1,0,1,1,1,1
"55",1,3,1,1,0,0,0
"58",1,2,0,0,0,0,0
"59",1,2,1,1,0,0,0
"61",1,1,0,0,0,0,0
"62",1,1,1,0,0,0,0
"71",1,0,1,0,0,0,0
"72",1,3,1,0,0,0,0
"73",1,1,0,0,0,0,0
"74",1,2,1,0,0,0,0
"77",1,1,1,1,1,1,1
"78",1,1,0,1,0,0,0
"80",1,1,1,0,0,0,0
"83",1,1,0,1,0,0,0
"84",1,2,1,0,0,0,0
"87",1,3,0,1,0,0,0
"88",0,3,0,1,1,1,1
"89",0,1,1,1,1,1,1
"94",1,1,0,1,0,0,0
"95",1,2,1,0,1,1,1
"100",1,1,1,1,1,1,1
"101",0,2,1,1,0,0,0
"102",1,2,1,1,0,0,0
"104",1,2,1,1,0,0,0
"106",0,0,1,0,1,1,0
"107",1,2,0,1,0,0,0
"108",1,1,0,1,0,0,1
"109",1,1,1,1,0,0,0
"112",1,1,1,1,1,1,1
"115",1,1,0,0,0,0,0
"116",0,1,1,1,1,1,0
"117",1,1,0,1,1,1,1
"120",0,1,1,1,1,1,1
"121",1,1,1,1,1,1,1
"123",1,1,1,0,0,0,1
"126",0,1,1,0,0,0,1
"127",1,2,1,1,0,0,0
"128",0,1,0,1,1,1,1
"130",0,1,1,0,1,1,1
"131",1,1,0,1,0,0,0
"133",1,1,1,1,0,0,0
"134",0,1,1,1,1,1,1
"135",1,2,0,1,0,0,0
"137",1,2,1,1,0,0,0
"140",0,1,1,1,1,1,1
"141",1,3,1,1,0,0,0
"146",1,2,0,1,0,0,0
"149",1,2,1,0,0,0,0
"150",0,2,0,1,0,0,0
"151",0,0,0,1,0,0,0
"152",1,2,0,1,0,0,0
"154",1,1,0,0,0,0,0
"155",1,2,0,1,0,0,0
"156",0,1,1,1,1,1,1
"159",0,1,0,1,0,1,1
"160",0,1,0,0,1,1,1
"161",1,3,1,1,0,0,0
"162",1,2,1,1,0,0,0
"164",1,2,0,0,0,0,0
"165",1,1,0,0,0,0,0
"166",1,1,1,0,0,0,1
"168",0,2,1,1,1,1,1
"169",1,3,1,1,0,0,0
"172",1,2,1,1,1,1,1
"173",0,1,0,1,1,1,1
"175",1,3,1,1,0,0,0
"176",1,1,1,1,0,0,0
"177",0,2,0,1,1,1,1
"179",1,1,1,0,0,0,0
"181",1,1,0,1,1,0,0
"183",1,2,0,1,1,1,0
"189",0,1,1,1,1,1,1
"190",1,1,0,1,1,1,1
"194",1,1,1,1,0,0,0
"201",1,0,1,1,1,1,1
"204",1,2,0,1,0,1,1
"205",1,1,0,1,1,1,1
"206",1,1,1,1,1,1,1
"207",1,2,1,1,1,1,1
"208",0,3,0,1,0,0,1
"209",1,1,0,0,0,0,0
"212",1,2,1,1,0,1,1
"213",1,3,1,1,0,0,0
"214",1,3,0,1,0,0,1
"216",1,1,1,1,0,0,0
"217",1,1,1,1,1,1,1
"218",1,3,1,0,0,0,0
"219",1,1,0,1,1,1,1
"220",1,2,0,1,0,0,0
"221",0,1,0,1,1,1,0
"223",1,3,1,1,1,1,1
"225",1,1,0,1,1,1,1
"226",1,3,1,1,1,1,1
"227",1,3,0,1,1,1,1
"229",0,2,0,1,0,1,1
"231",1,2,1,0,0,0,0
"232",1,3,1,1,0,0,0
"234",1,1,1,0,0,0,0
"236",1,2,1,1,0,0,1
"238",0,1,1,1,1,1,1
"240",0,3,1,1,1,1,1
"241",0,0,1,0,1,1,1
"242",0,1,1,0,0,0,0
"244",1,1,0,0,0,0,0
"245",1,1,0,1,1,1,1
"246",1,1,1,1,0,0,1
"247",1,2,0,0,0,0,0
"250",1,1,0,1,1,1,1
"251",0,0,1,0,0,0,0
"253",1,3,0,0,0,0,0
"258",1,1,1,0,0,0,0
"261",1,2,1,1,0,0,0
"262",1,2,1,0,1,1,0
"263",1,3,1,1,0,0,0
"264",0,1,0,1,1,1,1
"266",0,1,0,1,1,1,1
"267",0,0,0,1,0,0,1
"268",1,1,0,1,1,0,0
"269",1,1,1,0,0,0,0
"272",0,1,0,1,1,1,0
"273",1,2,1,1,1,1,1
"274",1,1,1,0,0,0,0
"275",1,1,1,1,0,0,0
"277",1,1,1,1,1,1,1
"280",1,1,0,1,1,1,1
"281",1,3,1,0,0,0,0
